# time passed	number of events	moving average
8422.5	247.0	236.41406945681211
8430.0	258.0	236.4332740213523
8437.5	256.0	236.45066666666668
8445.0	211.0	236.42806394316165
8452.5	244.0	236.43478260869566
8460.0	227.0	236.42641843971631
8467.5	224.0	236.41541186891055
8475.0	256.0	236.43274336283187
8482.5	240.0	236.43589743589743
8490.0	272.0	236.4673144876325
8497.5	200.0	236.4351279788173
8505.0	241.0	236.43915343915344
8512.5	230.0	236.43348017621145
8520.0	221.0	236.41989436619718
8527.5	224.0	236.4089709762533
8535.0	254.0	236.4244288224956
8542.5	239.0	236.42669007901668
8550.0	228.0	236.41929824561404
8557.5	222.0	236.40666082383873
8565.0	242.0	236.41155866900175
8572.5	251.0	236.42432195975502
8580.0	253.0	236.4388111888112
8587.5	259.0	236.4585152838428
8595.0	234.0	236.45636998254798
8602.5	252.0	236.46992153443767
8610.0	254.0	236.48519163763066
8617.5	237.0	236.48563968668407
8625.0	238.0	236.48695652173913
8632.5	261.0	236.50825369244134
8640.0	232.0	236.50434027777777
8647.5	241.0	236.50823937554208
8655.0	255.0	236.52426343154247
8662.5	227.0	236.51601731601733
8670.0	237.0	236.51643598615917
8677.5	225.0	236.50648228176317
8685.0	243.0	236.51208981001727
8692.5	238.0	236.51337359792925
8700.0	227.0	236.5051724137931
8707.5	233.0	236.5021533161068
8715.0	246.0	236.5103270223752
8722.5	261.0	236.53138435081686
8730.0	237.0	236.53178694158075
8737.5	251.0	236.5442060085837
8745.0	229.0	236.53773584905662
8752.5	243.0	236.54327335047128
8760.0	244.0	236.54965753424656
8767.5	231.0	236.5449101796407
8775.0	224.0	236.53418803418805
8782.5	242.0	236.5388556789069
8790.0	255.0	236.55460750853243
8797.5	257.0	236.57203751065643
8805.0	237.0	236.57240204429303
8812.5	253.0	236.5863829787234
8820.0	226.0	236.57738095238096
8827.5	229.0	236.570943075616
8835.0	261.0	236.5916808149406
8842.5	224.0	236.58100084817642
8850.0	233.0	236.57796610169493
8857.5	227.0	236.56985605419138
8865.0	235.0	236.56852791878174
8872.5	235.0	236.5672020287405
8880.0	244.0	236.57347972972974
8887.5	249.0	236.58396624472573
8895.0	231.0	236.57925801011805
8902.5	249.0	236.58972198820555
8910.0	250.0	236.6010101010101
8917.5	236.0	236.6005046257359
8925.0	204.0	236.57310924369747
8932.5	264.0	236.59613769941225
8940.0	278.0	236.63087248322148
8947.5	227.0	236.6227996647108
8955.0	214.0	236.6038525963149
8962.5	223.0	236.59246861924686
8970.0	253.0	236.6061872909699
8977.5	247.0	236.61487050960736
8985.0	228.0	236.6076794657763
8992.5	236.0	236.6071726438699
9000.0	227.0	236.59916666666666
9007.5	221.0	236.58617818484595
9015.0	214.0	236.56738768718802
9022.5	232.0	236.5635910224439
9030.0	213.0	236.5440199335548
9037.5	235.0	236.5427385892116
9045.0	230.0	236.53731343283582
9052.5	231.0	236.5327257663629
9060.0	240.0	236.53559602649005
9067.5	247.0	236.54425144747725
9075.0	240.0	236.54710743801652
9082.5	236.0	236.54665565648224
9090.0	239.0	236.5486798679868
9097.5	252.0	236.56141797197031
9105.0	226.0	236.55271828665568
9112.5	233.0	236.54979423868312
9120.0	199.0	236.51891447368422
9127.5	225.0	236.50944946589976
9135.0	242.0	236.51395730706076
9142.5	252.0	236.52666119770305
9150.0	212.0	236.50655737704918
9157.5	242.0	236.51105651105652
9165.0	226.0	236.5024549918167
9172.5	236.0	236.50204415372036
9180.0	224.0	236.49183006535947
9187.5	255.0	236.5069387755102
9195.0	239.0	236.5089722675367
9202.5	250.0	236.519967400163
9210.0	243.0	236.52524429967426
9217.5	298.0	236.5752644426363
9225.0	265.0	236.59837398373983
9232.5	251.0	236.61007311129163
9240.0	241.0	236.61363636363637
9247.5	240.0	236.61638280616384
9255.0	248.0	236.62560777957862
9262.5	257.0	236.6421052631579
9270.0	259.0	236.6601941747573
9277.5	230.0	236.6548100242522
9285.0	222.0	236.64297253634896
9292.5	240.0	236.6456820016142
9300.0	237.0	236.6459677419355
9307.5	247.0	236.6543110394843
9315.0	224.0	236.6441223832528
9322.5	232.0	236.64038616251005
9330.0	220.0	236.62700964630224
9337.5	225.0	236.61767068273093
9345.0	230.0	236.6123595505618
9352.5	253.0	236.62550120288694
9360.0	235.0	236.62419871794873
9367.5	258.0	236.64131305044035
9375.0	247.0	236.6496
9382.5	221.0	236.6370903277378
9390.0	231.0	236.63258785942492
9397.5	243.0	236.63766959297686
9405.0	262.0	236.6578947368421
9412.5	245.0	236.66454183266933
9420.0	233.0	236.66162420382165
9427.5	244.0	236.66746221161495
9435.0	229.0	236.66136724960253
9442.5	250.0	236.67196187450358
9450.0	232.0	236.66825396825396
9457.5	219.0	236.65424266455193
9465.0	279.0	236.6877971473851
9472.5	297.0	236.73555027711797
9480.0	218.0	236.72072784810126
9487.5	250.0	236.7312252964427
9495.0	257.0	236.7472353870458
9502.5	223.0	236.73638516179952
9510.0	218.0	236.72160883280756
9517.5	269.0	236.74704491725768
9525.0	239.0	236.7488188976378
9532.5	246.0	236.7560975609756
9540.0	213.0	236.73742138364778
9547.5	262.0	236.75726630007856
9555.0	242.0	236.76138147566718
9562.5	238.0	236.76235294117646
9570.0	240.0	236.76489028213166
9577.5	251.0	236.7760375880971
9585.0	229.0	236.7699530516432
